0 0 0 0.1 0.1
0.05 1.4532e+45 1.4532e+45 0.1 0.1
0.1 -nan -nan 0.1 0.1
0.15 -nan -nan 0.1 0.1
0.2 -nan -nan 0.1 0.1
0.25 -nan -nan 0.1 0.1
0.3 -nan -nan 0.1 0.1
0.35 -nan -nan 0.1 0.1
0.4 -nan -nan 0.1 0.1
0.45 -nan -nan 0.1 0.1
0.5 -nan -nan 0.1 0.1
0.55 -nan -nan 0.1 0.1
0.6 -nan -nan 0.1 0.1
0.65 -nan -nan 0.1 0.1
0.7 -nan -nan 0.1 0.1
0.75 -nan -nan 0.1 0.1
0.8 -nan -nan 0.1 0.1
0.85 -nan -nan 0.1 0.1
0.9 -nan -nan 0.1 0.1
0.95 -nan -nan 0.1 0.1
1 -nan -nan 0.1 0.1
1.05 -nan -nan 0.1 0.1
1.1 -nan -nan 0.1 0.1
1.15 -nan -nan 0.1 0.1
1.2 -nan -nan 0.1 0.1
1.25 -nan -nan 0.1 0.1
1.3 -nan -nan 0.1 0.1
1.35 -nan -nan 0.1 0.1
1.4 -nan -nan 0.1 0.1
1.45 -nan -nan 0.1 0.1
1.5 -nan -nan 0.1 0.1
1.55 -nan -nan 0.1 0.1
1.6 -nan -nan 0.1 0.1
1.65 -nan -nan 0.1 0.1
1.7 -nan -nan 0.1 0.1
1.75 -nan -nan 0.1 0.1
1.8 -nan -nan 0.1 0.1
1.85 -nan -nan 0.1 0.1
1.9 -nan -nan 0.1 0.1
1.95 -nan -nan 0.1 0.1
2 -nan -nan 0.1 0.1
2.05 -nan -nan 0.1 0.1
2.1 -nan -nan 0.1 0.1
2.15 -nan -nan 0.1 0.1
2.2 -nan -nan 0.1 0.1
2.25 -nan -nan 0.1 0.1
2.3 -nan -nan 0.1 0.1
2.35 -nan -nan 0.1 0.1
2.4 -nan -nan 0.1 0.1
2.45 -nan -nan 0.1 0.1
2.5 -nan -nan 0.1 0.1
2.55 -nan -nan 0.1 0.1
2.6 -nan -nan 0.1 0.1
2.65 -nan -nan 0.1 0.1
2.7 -nan -nan 0.1 0.1
2.75 -nan -nan 0.1 0.1
2.8 -nan -nan 0.1 0.1
2.85 -nan -nan 0.1 0.1
2.9 -nan -nan 0.1 0.1
2.95 -nan -nan 0.1 0.1
3 -nan -nan 0.1 0.1
3.05 -nan -nan 0.1 0.1
3.1 -nan -nan 0.1 0.1
3.15 -nan -nan 0.1 0.1
3.2 -nan -nan 0.1 0.1
3.25 -nan -nan 0.1 0.1
3.3 -nan -nan 0.1 0.1
3.35 -nan -nan 0.1 0.1
3.4 -nan -nan 0.1 0.1
3.45 -nan -nan 0.1 0.1
3.5 -nan -nan 0.1 0.1
3.55 -nan -nan 0.1 0.1
3.6 -nan -nan 0.1 0.1
3.65 -nan -nan 0.1 0.1
3.7 -nan -nan 0.1 0.1
3.75 -nan -nan 0.1 0.1
3.8 -nan -nan 0.1 0.1
3.85 -nan -nan 0.1 0.1
3.9 -nan -nan 0.1 0.1
3.95 -nan -nan 0.1 0.1
4 -nan -nan 0.1 0.1
4.05 -nan -nan 0.1 0.1
4.1 -nan -nan 0.1 0.1
4.15 -nan -nan 0.1 0.1
4.2 -nan -nan 0.1 0.1
4.25 -nan -nan 0.1 0.1
4.3 -nan -nan 0.1 0.1
4.35 -nan -nan 0.1 0.1
4.4 -nan -nan 0.1 0.1
4.45 -nan -nan 0.1 0.1
4.5 -nan -nan 0.1 0.1
4.55 -nan -nan 0.1 0.1
4.6 -nan -nan 0.1 0.1
4.65 -nan -nan 0.1 0.1
4.7 -nan -nan 0.1 0.1
4.75 -nan -nan 0.1 0.1
4.8 -nan -nan 0.1 0.1
4.85 -nan -nan 0.1 0.1
4.9 -nan -nan 0.1 0.1
4.95 -nan -nan 0.1 0.1
5 -nan -nan 0.1 0.1
5.05 -nan -nan 0.1 0.1
5.1 -nan -nan 0.1 0.1
5.15 -nan -nan 0.1 0.1
5.2 -nan -nan 0.1 0.1
5.25 -nan -nan 0.1 0.1
5.3 -nan -nan 0.1 0.1
5.35 -nan -nan 0.1 0.1
5.4 -nan -nan 0.1 0.1
5.45 -nan -nan 0.1 0.1
5.5 -nan -nan 0.1 0.1
5.55 -nan -nan 0.1 0.1
5.6 -nan -nan 0.1 0.1
5.65 -nan -nan 0.1 0.1
5.7 -nan -nan 0.1 0.1
5.75 -nan -nan 0.1 0.1
5.8 -nan -nan 0.1 0.1
5.85 -nan -nan 0.1 0.1
5.9 -nan -nan 0.1 0.1
5.95 -nan -nan 0.1 0.1
6 -nan -nan 0.1 0.1
6.05 -nan -nan 0.1 0.1
6.1 -nan -nan 0.1 0.1
6.15 -nan -nan 0.1 0.1
6.2 -nan -nan 0.1 0.1
6.25 -nan -nan 0.1 0.1
6.3 -nan -nan 0.1 0.1
6.35 -nan -nan 0.1 0.1
6.4 -nan -nan 0.1 0.1
6.45 -nan -nan 0.1 0.1
6.5 -nan -nan 0.1 0.1
6.55 -nan -nan 0.1 0.1
6.6 -nan -nan 0.1 0.1
6.65 -nan -nan 0.1 0.1
6.7 -nan -nan 0.1 0.1
6.75 -nan -nan 0.1 0.1
6.8 -nan -nan 0.1 0.1
6.85 -nan -nan 0.1 0.1
6.9 -nan -nan 0.1 0.1
6.95 -nan -nan 0.1 0.1
7 -nan -nan 0.1 0.1
7.05 -nan -nan 0.1 0.1
7.1 -nan -nan 0.1 0.1
7.15 -nan -nan 0.1 0.1
7.2 -nan -nan 0.1 0.1
7.25 -nan -nan 0.1 0.1
7.3 -nan -nan 0.1 0.1
7.35 -nan -nan 0.1 0.1
7.4 -nan -nan 0.1 0.1
7.45 -nan -nan 0.1 0.1
7.5 -nan -nan 0.1 0.1
7.55 -nan -nan 0.1 0.1
7.6 -nan -nan 0.1 0.1
7.65 -nan -nan 0.1 0.1
7.7 -nan -nan 0.1 0.1
7.75 -nan -nan 0.1 0.1
7.8 -nan -nan 0.1 0.1
7.85 -nan -nan 0.1 0.1
7.9 -nan -nan 0.1 0.1
7.95 -nan -nan 0.1 0.1
8 -nan -nan 0.1 0.1
8.05 -nan -nan 0.1 0.1
8.1 -nan -nan 0.1 0.1
8.15 -nan -nan 0.1 0.1
8.2 -nan -nan 0.1 0.1
8.25 -nan -nan 0.1 0.1
8.3 -nan -nan 0.1 0.1
8.35 -nan -nan 0.1 0.1
8.4 -nan -nan 0.1 0.1
8.45 -nan -nan 0.1 0.1
8.5 -nan -nan 0.1 0.1
8.55 -nan -nan 0.1 0.1
8.6 -nan -nan 0.1 0.1
8.65 -nan -nan 0.1 0.1
8.7 -nan -nan 0.1 0.1
8.75 -nan -nan 0.1 0.1
8.8 -nan -nan 0.1 0.1
8.85 -nan -nan 0.1 0.1
8.9 -nan -nan 0.1 0.1
8.95 -nan -nan 0.1 0.1
9 -nan -nan 0.1 0.1
9.05 -nan -nan 0.1 0.1
9.1 -nan -nan 0.1 0.1
9.15 -nan -nan 0.1 0.1
9.2 -nan -nan 0.1 0.1
9.25 -nan -nan 0.1 0.1
9.3 -nan -nan 0.1 0.1
9.35 -nan -nan 0.1 0.1
9.4 -nan -nan 0.1 0.1
9.45 -nan -nan 0.1 0.1
9.5 -nan -nan 0.1 0.1
9.55 -nan -nan 0.1 0.1
9.6 -nan -nan 0.1 0.1
9.65 -nan -nan 0.1 0.1
9.7 -nan -nan 0.1 0.1
9.75 -nan -nan 0.1 0.1
9.8 -nan -nan 0.1 0.1
9.85 -nan -nan 0.1 0.1
9.9 -nan -nan 0.1 0.1
9.95 -nan -nan 0.1 0.1
10 -nan -nan 0.1 0.1
10.05 -nan -nan 0.1 0.1
10.1 -nan -nan 0.1 0.1
10.15 -nan -nan 0.1 0.1
10.2 -nan -nan 0.1 0.1
10.25 -nan -nan 0.1 0.1
10.3 -nan -nan 0.1 0.1
10.35 -nan -nan 0.1 0.1
10.4 -nan -nan 0.1 0.1
10.45 -nan -nan 0.1 0.1
10.5 -nan -nan 0.1 0.1
10.55 -nan -nan 0.1 0.1
10.6 -nan -nan 0.1 0.1
10.65 -nan -nan 0.1 0.1
10.7 -nan -nan 0.1 0.1
10.75 -nan -nan 0.1 0.1
10.8 -nan -nan 0.1 0.1
10.85 -nan -nan 0.1 0.1
10.9 -nan -nan 0.1 0.1
10.95 -nan -nan 0.1 0.1
11 -nan -nan 0.1 0.1
11.05 -nan -nan 0.1 0.1
11.1 -nan -nan 0.1 0.1
11.15 -nan -nan 0.1 0.1
11.2 -nan -nan 0.1 0.1
11.25 -nan -nan 0.1 0.1
11.3 -nan -nan 0.1 0.1
11.35 -nan -nan 0.1 0.1
11.4 -nan -nan 0.1 0.1
11.45 -nan -nan 0.1 0.1
11.5 -nan -nan 0.1 0.1
11.55 -nan -nan 0.1 0.1
11.6 -nan -nan 0.1 0.1
11.65 -nan -nan 0.1 0.1
11.7 -nan -nan 0.1 0.1
11.75 -nan -nan 0.1 0.1
11.8 -nan -nan 0.1 0.1
11.85 -nan -nan 0.1 0.1
11.9 -nan -nan 0.1 0.1
11.95 -nan -nan 0.1 0.1
12 -nan -nan 0.1 0.1
12.05 -nan -nan 0.1 0.1
12.1 -nan -nan 0.1 0.1
12.15 -nan -nan 0.1 0.1
12.2 -nan -nan 0.1 0.1
12.25 -nan -nan 0.1 0.1
12.3 -nan -nan 0.1 0.1
12.35 -nan -nan 0.1 0.1
12.4 -nan -nan 0.1 0.1
12.45 -nan -nan 0.1 0.1
12.5 -nan -nan 0.1 0.1
12.55 -nan -nan 0.1 0.1
12.6 -nan -nan 0.1 0.1
12.65 -nan -nan 0.1 0.1
12.7 -nan -nan 0.1 0.1
12.75 -nan -nan 0.1 0.1
12.8 -nan -nan 0.1 0.1
12.85 -nan -nan 0.1 0.1
12.9 -nan -nan 0.1 0.1
12.95 -nan -nan 0.1 0.1
13 -nan -nan 0.1 0.1
13.05 -nan -nan 0.1 0.1
13.1 -nan -nan 0.1 0.1
13.15 -nan -nan 0.1 0.1
13.2 -nan -nan 0.1 0.1
13.25 -nan -nan 0.1 0.1
13.3 -nan -nan 0.1 0.1
13.35 -nan -nan 0.1 0.1
13.4 -nan -nan 0.1 0.1
13.45 -nan -nan 0.1 0.1
13.5 -nan -nan 0.1 0.1
13.55 -nan -nan 0.1 0.1
13.6 -nan -nan 0.1 0.1
13.65 -nan -nan 0.1 0.1
13.7 -nan -nan 0.1 0.1
13.75 -nan -nan 0.1 0.1
13.8 -nan -nan 0.1 0.1
13.85 -nan -nan 0.1 0.1
13.9 -nan -nan 0.1 0.1
13.95 -nan -nan 0.1 0.1
14 -nan -nan 0.1 0.1
14.05 -nan -nan 0.1 0.1
14.1 -nan -nan 0.1 0.1
14.15 -nan -nan 0.1 0.1
14.2 -nan -nan 0.1 0.1
14.25 -nan -nan 0.1 0.1
14.3 -nan -nan 0.1 0.1
14.35 -nan -nan 0.1 0.1
14.4 -nan -nan 0.1 0.1
14.45 -nan -nan 0.1 0.1
14.5 -nan -nan 0.1 0.1
14.55 -nan -nan 0.1 0.1
14.6 -nan -nan 0.1 0.1
14.65 -nan -nan 0.1 0.1
14.7 -nan -nan 0.1 0.1
14.75 -nan -nan 0.1 0.1
14.8 -nan -nan 0.1 0.1
14.85 -nan -nan 0.1 0.1
14.9 -nan -nan 0.1 0.1
14.95 -nan -nan 0.1 0.1
15 -nan -nan 0.1 0.1
15.05 -nan -nan 0.1 0.1
15.1 -nan -nan 0.1 0.1
15.15 -nan -nan 0.1 0.1
15.2 -nan -nan 0.1 0.1
15.25 -nan -nan 0.1 0.1
15.3 -nan -nan 0.1 0.1
15.35 -nan -nan 0.1 0.1
