0 60 -30 0.001 0.001 0.1 0.1 0.1 0.1 0.3 0.3
0.05 51.5542 -4.41066 -180.353 -669.132 -356.136 -418.128 4.39691 0.781058 0.297073 0.297073
0.1 49.9802 22.0912 -356.01 -609.485 -382.958 -395.522 4.50805 2.86768 0.294289 0.294288
0.15 48.8688 46.3955 -424.145 -487.192 -380.47 -149.284 4.5522 5.00546 0.29164 0.291638
0.2 47.7249 51.1308 -481.819 -198.11 -401.593 244.814 4.49539 6.32085 0.289119 0.289117
0.25 46.4988 41.7877 -539.164 -77.0828 -432.993 770.403 4.40054 7.63683 0.286721 0.286718
0.3 45.1993 -32.0111 -597.853 464.477 -469.515 5130.45 4.28913 19.0728 0.284439 0.284435
0.35 43.8444 5.67935e+22 -657.99 -4722.28 -509.022 3.56586e-05 4.16968 153.954 0.282267 0.282262
0.4 42.4521 -nan -719.258 -nan -550.417 -nan 4.04632 -nan 0.2802 -nan
0.45 41.0385 -nan -781.212 -nan -593.002 -nan 3.92143 -nan 0.278233 -nan
0.5 39.6176 -nan -843.397 -nan -636.257 -nan 3.7966 -nan 0.27636 -nan
0.55 38.2008 -nan -905.385 -nan -679.76 -nan 3.67299 -nan 0.274578 -nan
0.6 36.7977 -nan -966.802 -nan -723.155 -nan 3.55148 -nan 0.272881 -nan
0.65 35.4159 -nan -1027.33 -nan -766.145 -nan 3.43274 -nan 0.271266 -nan
0.7 34.0614 -nan -1086.7 -nan -808.484 -nan 3.31728 -nan 0.269728 -nan
0.75 32.739 -nan -1144.7 -nan -849.97 -nan 3.20548 -nan 0.268264 -nan
0.8 31.4522 -nan -1201.17 -nan -890.445 -nan 3.0976 -nan 0.26687 -nan
0.85 30.2037 -nan -1255.98 -nan -929.789 -nan 2.99381 -nan 0.265542 -nan
0.9 28.9954 -nan -1309.04 -nan -967.912 -nan 2.89419 -nan 0.264277 -nan
0.95 27.8283 -nan -1360.29 -nan -1004.75 -nan 2.79878 -nan 0.263073 -nan
1 26.7033 -nan -1409.7 -nan -1040.27 -nan 2.70755 -nan 0.261925 -nan
1.05 25.6205 -nan -1457.24 -nan -1074.45 -nan 2.62044 -nan 0.260831 -nan
1.1 24.5797 -nan -1502.91 -nan -1107.28 -nan 2.53736 -nan 0.259789 -nan
1.15 23.5805 -nan -1546.74 -nan -1138.76 -nan 2.4582 -nan 0.258796 -nan
1.2 22.6222 -nan -1588.75 -nan -1168.93 -nan 2.38283 -nan 0.25785 -nan
1.25 21.704 -nan -1628.96 -nan -1197.79 -nan 2.31111 -nan 0.256947 -nan
1.3 20.8249 -nan -1667.42 -nan -1225.38 -nan 2.2429 -nan 0.256087 -nan
1.35 19.9837 -nan -1704.18 -nan -1251.74 -nan 2.17805 -nan 0.255267 -nan
1.4 19.1791 -nan -1739.28 -nan -1276.89 -nan 2.11641 -nan 0.254484 -nan
1.45 18.41 -nan -1772.77 -nan -1300.87 -nan 2.05784 -nan 0.253738 -nan
1.5 17.675 -nan -1804.71 -nan -1323.73 -nan 2.00217 -nan 0.253026 -nan
1.55 16.9728 -nan -1835.14 -nan -1345.5 -nan 1.94927 -nan 0.252346 -nan
1.6 16.3019 -nan -1864.13 -nan -1366.22 -nan 1.899 -nan 0.251697 -nan
1.65 15.6611 -nan -1891.72 -nan -1385.92 -nan 1.85122 -nan 0.251078 -nan
1.7 15.0488 -nan -1917.96 -nan -1404.66 -nan 1.80579 -nan 0.250487 -nan
1.75 14.4639 -nan -1942.9 -nan -1422.45 -nan 1.76259 -nan 0.249922 -nan
1.8 13.9048 -nan -1966.6 -nan -1439.35 -nan 1.72148 -nan 0.249383 -nan
1.85 13.3703 -nan -1989.09 -nan -1455.37 -nan 1.68235 -nan 0.248867 -nan
1.9 12.859 -nan -2010.42 -nan -1470.55 -nan 1.64507 -nan 0.248374 -nan
1.95 12.3695 -nan -2030.63 -nan -1484.92 -nan 1.60954 -nan 0.247903 -nan
2 11.9005 -nan -2049.76 -nan -1498.5 -nan 1.57564 -nan 0.247453 -nan
2.05 11.4506 -nan -2067.84 -nan -1511.32 -nan 1.54326 -nan 0.247022 -nan
2.1 11.0186 -nan -2084.9 -nan -1523.4 -nan 1.51228 -nan 0.246609 -nan
2.15 10.6031 -nan -2100.96 -nan -1534.76 -nan 1.48262 -nan 0.246215 -nan
2.2 10.2026 -nan -2116.06 -nan -1545.41 -nan 1.45415 -nan 0.245837 -nan
2.25 9.8159 -nan -2130.22 -nan -1555.37 -nan 1.42678 -nan 0.245475 -nan
2.3 9.44143 -nan -2143.44 -nan -1564.64 -nan 1.4004 -nan 0.245128 -nan
2.35 9.07778 -nan -2155.73 -nan -1573.24 -nan 1.37491 -nan 0.244796 -nan
2.4 8.72341 -nan -2167.11 -nan -1581.15 -nan 1.35019 -nan 0.244477 -nan
2.45 8.37675 -nan -2177.57 -nan -1588.38 -nan 1.32613 -nan 0.244171 -nan
2.5 8.03614 -nan -2187.11 -nan -1594.92 -nan 1.30261 -nan 0.243878 -nan
2.55 7.69983 -nan -2195.71 -nan -1600.77 -nan 1.27952 -nan 0.243597 -nan
2.6 7.36596 -nan -2203.35 -nan -1605.89 -nan 1.25674 -nan 0.243326 -nan
2.65 7.03259 -nan -2210.01 -nan -1610.28 -nan 1.23411 -nan 0.243067 -nan
2.7 6.69761 -nan -2215.65 -nan -1613.9 -nan 1.21151 -nan 0.242817 -nan
2.75 6.35881 -nan -2220.23 -nan -1616.73 -nan 1.18878 -nan 0.242577 -nan
2.8 6.01381 -nan -2223.7 -nan -1618.72 -nan 1.16576 -nan 0.242346 -nan
2.85 5.66007 -nan -2226 -nan -1619.83 -nan 1.14227 -nan 0.242124 -nan
2.9 5.29489 -nan -2227.06 -nan -1620.01 -nan 1.11812 -nan 0.24191 -nan
2.95 4.9154 -nan -2226.81 -nan -1619.2 -nan 1.09313 -nan 0.241704 -nan
3 4.51854 -nan -2225.15 -nan -1617.35 -nan 1.06707 -nan 0.241506 -nan
3.05 4.10109 -nan -2221.99 -nan -1614.38 -nan 1.03972 -nan 0.241314 -nan
3.1 3.65964 -nan -2217.23 -nan -1610.23 -nan 1.01085 -nan 0.24113 -nan
3.15 3.19062 -nan -2210.74 -nan -1604.81 -nan 0.9802 -nan 0.240951 -nan
3.2 2.69025 -nan -2202.41 -nan -1598.03 -nan 0.947518 -nan 0.240779 -nan
3.25 2.15461 -nan -2192.1 -nan -1589.81 -nan 0.912533 -nan 0.240613 -nan
3.3 1.57956 -nan -2179.68 -nan -1580.04 -nan 0.87497 -nan 0.240453 -nan
3.35 0.960769 -nan -2165 -nan -1568.61 -nan 0.834544 -nan 0.240297 -nan
3.4 0.29364 -nan -2147.89 -nan -1555.39 -nan 0.790959 -nan 0.240147 -nan
3.45 -0.426717 -nan -2128.19 -nan -1540.27 -nan 0.743908 -nan 0.240002 -nan
3.5 -1.20559 -nan -2105.72 -nan -1523.1 -nan 0.693066 -nan 0.239861 -nan
3.55 -2.04878 -nan -2080.27 -nan -1503.71 -nan 0.638077 -nan 0.239725 -nan
3.6 -2.9628 -nan -2051.61 -nan -1481.92 -nan 0.578547 -nan 0.239593 -nan
3.65 -3.9551 -nan -2019.5 -nan -1457.52 -nan 0.514025 -nan 0.239465 -nan
3.7 -5.03436 -nan -1983.63 -nan -1430.27 -nan 0.44398 -nan 0.239341 -nan
3.75 -6.21094 -nan -1943.63 -nan -1399.87 -nan 0.367775 -nan 0.23922 -nan
3.8 -7.49739 -nan -1899.09 -nan -1365.97 -nan 0.284633 -nan 0.239103 -nan
3.85 -8.90909 -nan -1849.47 -nan -1328.14 -nan 0.193591 -nan 0.23899 -nan
3.9 -10.4651 -nan -1794.14 -nan -1285.86 -nan 0.0934547 -nan 0.23888 -nan
3.95 -12.1892 -nan -1732.3 -nan -1238.48 -nan -0.0172739 -nan 0.238773 -nan
4 -14.1111 -nan -1662.96 -nan -1185.21 -nan -0.140465 -nan 0.23867 -nan
4.05 -16.2677 -nan -1584.94 -nan -1125.08 -nan -0.278449 -nan 0.238569 -nan
4.1 -18.7045 -nan -1496.79 -nan -1056.96 -nan -0.434089 -nan 0.238472 -nan
4.15 -21.4765 -nan -1396.84 -nan -979.531 -nan -0.610823 -nan 0.238377 -nan
4.2 -24.6468 -nan -1283.28 -nan -891.478 -nan -0.812589 -nan 0.238285 -nan
4.25 -28.2818 -nan -1154.43 -nan -791.728 -nan -1.04348 -nan 0.238196 -nan
4.3 -32.438 -nan -1009.37 -nan -680.1 -nan -1.30689 -nan 0.23811 -nan
4.35 -37.1345 -nan -849.091 -nan -558.375 -nan -1.60371 -nan 0.238027 -nan
4.4 -42.3083 -nan -678.224 -nan -431.711 -nan -1.92957 -nan 0.237946 -nan
